titulo;link;preco
Sony PlayStation 5 825GB Standard cor  branco e preto;https://www.mercadolivre.com.br/sony-playstation-5-825gb-standard-cor-branco-e-preto/p/MLB16171888?pdp_filters=category:MLB11172#searchVariation=MLB16171888&position=1&search_layout=grid&type=product&tracking_id=4c6d96ac-891f-4fa6-b7bd-88347d9adc76;R$6.555
Console Playstation 5 Disco - 2 Controles Ps5 Garantia 1 Ano;https://produto.mercadolivre.com.br/MLB-1947133622-console-playstation-5-disco-2-controles-ps5-garantia-1-ano-_JM?searchVariation=90913566520#searchVariation=90913566520&position=2&search_layout=grid&type=item&tracking_id=4c6d96ac-891f-4fa6-b7bd-88347d9adc76;R$8.499
Playstation 5 C\ Disco - Ps5 - Garantia 1 Ano - Pode Retirar;https://produto.mercadolivre.com.br/MLB-1755089502-playstation-5-c-disco-ps5-garantia-1-ano-pode-retirar-_JM?searchVariation=72209493924#searchVariation=72209493924&position=3&search_layout=grid&type=item&tracking_id=4c6d96ac-891f-4fa6-b7bd-88347d9adc76;R$8.099
Console Sony Playstation 5 - Ps5 - Pronta Entrega;https://produto.mercadolivre.com.br/MLB-1734254754-console-sony-playstation-5-ps5-pronta-entrega-_JM?searchVariation=72619454135#searchVariation=72619454135&position=4&search_layout=grid&type=item&tracking_id=4c6d96ac-891f-4fa6-b7bd-88347d9adc76;R$6.899
Console Playstation 5 Ps5 Sony Disc Version C/nfe;https://produto.mercadolivre.com.br/MLB-1902450751-console-playstation-5-ps5-sony-disc-version-cnfe-_JM#position=5&search_layout=grid&type=item&tracking_id=4c6d96ac-891f-4fa6-b7bd-88347d9adc76;R$7.499
Console Playstation 5 Leitor Disco - 2 Controles Ps5 ;https://produto.mercadolivre.com.br/MLB-2077253252-console-playstation-5-leitor-disco-2-controles-ps5-_JM?searchVariation=173883165672#searchVariation=173883165672&position=6&search_layout=grid&type=item&tracking_id=4c6d96ac-891f-4fa6-b7bd-88347d9adc76;R$6.759
Sony Playstation 5 Ps5 825gb Com Disco  Nota Fiscal;https://produto.mercadolivre.com.br/MLB-1970126760-sony-playstation-5-ps5-825gb-com-disco-nota-fiscal-_JM?searchVariation=93191189014#searchVariation=93191189014&position=7&search_layout=grid&type=item&tracking_id=4c6d96ac-891f-4fa6-b7bd-88347d9adc76;R$7.099
Console Playstation 5 Ps5 2 Controles Ps5 Garantia 1 Ano;https://produto.mercadolivre.com.br/MLB-1970231884-console-playstation-5-ps5-2-controles-ps5-garantia-1-ano-_JM?searchVariation=93195906696#searchVariation=93195906696&position=8&search_layout=grid&type=item&tracking_id=4c6d96ac-891f-4fa6-b7bd-88347d9adc76;R$7.590
Volante De Corrida Logitech G923 Ps5, Ps4, Xbox One E Pc;https://produto.mercadolivre.com.br/MLB-1890967218-volante-de-corrida-logitech-g923-ps5-ps4-xbox-one-e-pc-_JM?searchVariation=85398999107#searchVariation=85398999107&position=9&search_layout=grid&type=item&tracking_id=4c6d96ac-891f-4fa6-b7bd-88347d9adc76;R$2.968
Console Playstation 5 Ps5 2 Controles Ps5 Lacrado Garantia;https://produto.mercadolivre.com.br/MLB-1980012618-console-playstation-5-ps5-2-controles-ps5-lacrado-garantia-_JM?searchVariation=94277300289#searchVariation=94277300289&position=10&search_layout=grid&type=item&tracking_id=4c6d96ac-891f-4fa6-b7bd-88347d9adc76;R$7.990
Console Sony Ps5 Playstation 5 8k Controle Dualsense Nfe;https://produto.mercadolivre.com.br/MLB-1913268949-console-sony-ps5-playstation-5-8k-controle-dualsense-nfe-_JM?searchVariation=87659884225#searchVariation=87659884225&position=11&search_layout=grid&type=item&tracking_id=4c6d96ac-891f-4fa6-b7bd-88347d9adc76;R$7.099
Console Playstation 5 Ps5 Sony Disc Version C/nfe;https://produto.mercadolivre.com.br/MLB-1899541216-console-playstation-5-ps5-sony-disc-version-cnfe-_JM?searchVariation=93732256150#searchVariation=93732256150&position=12&search_layout=grid&type=item&tracking_id=4c6d96ac-891f-4fa6-b7bd-88347d9adc76;R$7.499
Console Playstation 5 Ps5 Sony Disc Version Pronta Entrega;https://produto.mercadolivre.com.br/MLB-1898310394-console-playstation-5-ps5-sony-disc-version-pronta-entrega-_JM?searchVariation=86112059147#searchVariation=86112059147&position=13&search_layout=grid&type=item&tracking_id=4c6d96ac-891f-4fa6-b7bd-88347d9adc76;R$7.699
Playstation 5 C\ Disco Ps5 Garantia 1 Ano Sony C/nfe;https://produto.mercadolivre.com.br/MLB-1980486030-playstation-5-c-disco-ps5-garantia-1-ano-sony-cnfe-_JM#position=14&search_layout=grid&type=item&tracking_id=4c6d96ac-891f-4fa6-b7bd-88347d9adc76;R$7.799
Sony Playstation 5 825gb Ps5 Leitor Midia Fisica Lacrado;https://produto.mercadolivre.com.br/MLB-1967912351-sony-playstation-5-825gb-ps5-leitor-midia-fisica-lacrado-_JM?searchVariation=92942388231#searchVariation=92942388231&position=15&search_layout=grid&type=item&tracking_id=4c6d96ac-891f-4fa6-b7bd-88347d9adc76;R$7.799
Sony Playstation 5 Ps5 825gb Versao Disco + Camera Ps5 C/nfe;https://produto.mercadolivre.com.br/MLB-1990681160-sony-playstation-5-ps5-825gb-versao-disco-camera-ps5-cnfe-_JM?searchVariation=95423526149#searchVariation=95423526149&position=16&search_layout=grid&type=item&tracking_id=4c6d96ac-891f-4fa6-b7bd-88347d9adc76;R$8.299
Console Playstation 5 Ps5 Sony Disc Version C/nfe Novo;https://produto.mercadolivre.com.br/MLB-2109334752-console-playstation-5-ps5-sony-disc-version-cnfe-novo-_JM#position=17&search_layout=grid&type=item&tracking_id=4c6d96ac-891f-4fa6-b7bd-88347d9adc76;R$7.699
Headset Pulse 3d Sem Fio Sony Fone Ps5 Ps4 Nfe;https://produto.mercadolivre.com.br/MLB-1906456917-headset-pulse-3d-sem-fio-sony-fone-ps5-ps4-nfe-_JM?searchVariation=87011091933#searchVariation=87011091933&position=18&search_layout=grid&type=item&tracking_id=4c6d96ac-891f-4fa6-b7bd-88347d9adc76;R$650
Sony Playstation 5 Ps5 Novo Com Leitor De Midia;https://produto.mercadolivre.com.br/MLB-2101757232-sony-playstation-5-ps5-novo-com-leitor-de-midia-_JM?searchVariation=173965353061#searchVariation=173965353061&position=19&search_layout=grid&type=item&tracking_id=4c6d96ac-891f-4fa6-b7bd-88347d9adc76;R$6.230
Console Playstation 5 Ps5 Sony Disc Version C/nfe Novo;https://produto.mercadolivre.com.br/MLB-2109341423-console-playstation-5-ps5-sony-disc-version-cnfe-novo-_JM#position=20&search_layout=grid&type=item&tracking_id=4c6d96ac-891f-4fa6-b7bd-88347d9adc76;R$7.990
